country,month,clean_share
Czechia,2020/12/1,9.843
Czechia,2021/1/1,9.182
Czechia,2021/2/1,11.721
Czechia,2021/3/1,12.839
Czechia,2021/4/1,14.772
Czechia,2021/5/1,18.661
Czechia,2021/6/1,16.693
Czechia,2021/7/1,16.847
Czechia,2021/8/1,15.118
Czechia,2021/9/1,12.882
Czechia,2021/10/1,11.055
Czechia,2021/11/1,9.076
Czechia,2021/12/1,8.773
Czechia,2022/1/1,10.355
Czechia,2022/2/1,12.578
Czechia,2022/3/1,12.799
Czechia,2022/4/1,14.849
Czechia,2022/5/1,16.846
Czechia,2022/6/1,14.728
Czechia,2022/7/1,15.059
Czechia,2022/8/1,14.338
Czechia,2022/9/1,12.675
Czechia,2022/10/1,12.147
Czechia,2022/11/1,9.4
Czechia,2022/12/1,8.927
Czechia,2023/1/1,10.559
Czechia,2023/2/1,11.458
Czechia,2023/3/1,15.243
Czechia,2023/4/1,16.786
Czechia,2023/5/1,20.592
Czechia,2023/6/1,17.11
Czechia,2023/7/1,15.195
Czechia,2023/8/1,14.033
Czechia,2023/9/1,14.369
Czechia,2023/10/1,12.447
Czechia,2023/11/1,11.545
Czechia,2023/12/1,12.516
Czechia,2024/1/1,15.388
Czechia,2024/2/1,15.392
Czechia,2024/3/1,17.139
Czechia,2024/4/1,20.696
Czechia,2024/5/1,21.891
Czechia,2024/6/1,22.088
Czechia,2024/7/1,19.902
Czechia,2024/8/1,19.704
Czechia,2024/9/1,19.077
Czechia,2024/10/1,16.529
Czechia,2024/11/1,12.694
Czechia,2024/12/1,12.966
Czechia,2025/1/1,12.019
Czechia,2025/2/1,12.766
Czechia,2025/3/1,16.228
Czechia,2025/4/1,19.941
Czechia,2025/5/1,21.394
Czechia,2025/6/1,27.376
Czechia,2025/7/1,20.904
Czechia,2025/8/1,20.273
Czechia,2025/9/1,18.999
Czechia,2025/10/1,15.368
Czechia,2025/11/1,12.544
Denmark,2017/1/1,55.504
Denmark,2017/2/1,61.188
Denmark,2017/3/1,59.654
Denmark,2017/4/1,70.907
Denmark,2017/5/1,70.426
Denmark,2017/6/1,85.71
Denmark,2017/7/1,77.739
Denmark,2017/8/1,75.27
Denmark,2017/9/1,66.972
Denmark,2017/10/1,75.851
Denmark,2017/11/1,68.202
Denmark,2017/12/1,71.8
Denmark,2018/1/1,64.363
Denmark,2018/2/1,56.98
Denmark,2018/3/1,55.702
Denmark,2018/4/1,66.249
Denmark,2018/5/1,70.734
Denmark,2018/6/1,83.837
Denmark,2018/7/1,68.796
Denmark,2018/8/1,71.727
Denmark,2018/9/1,78.747
Denmark,2018/10/1,74.49
Denmark,2018/11/1,65.275
Denmark,2018/12/1,64.303
Denmark,2019/1/1,63.49
Denmark,2019/2/1,67.537
Denmark,2019/3/1,75.549
Denmark,2019/4/1,72.065
Denmark,2019/5/1,82.993
Denmark,2019/6/1,89.096
Denmark,2019/7/1,91.912
Denmark,2019/8/1,89.216
Denmark,2019/9/1,89.29
Denmark,2019/10/1,77.994
Denmark,2019/11/1,72.367
Denmark,2019/12/1,75.464
Denmark,2020/1/1,78.765
Denmark,2020/2/1,79.559
Denmark,2020/3/1,76.368
Denmark,2020/4/1,81.141
Denmark,2020/5/1,79.669
Denmark,2020/6/1,80.269
Denmark,2020/7/1,84.746
Denmark,2020/8/1,78.604
Denmark,2020/9/1,82.886
Denmark,2020/10/1,80.672
Denmark,2020/11/1,78.268
Denmark,2020/12/1,71.426
Denmark,2021/1/1,61.176
Denmark,2021/2/1,68.214
Denmark,2021/3/1,74.677
Denmark,2021/4/1,78.542
Denmark,2021/5/1,79.926
Denmark,2021/6/1,78.863
Denmark,2021/7/1,75.413
Denmark,2021/8/1,84.455
Denmark,2021/9/1,72.012
Denmark,2021/10/1,82.181
Denmark,2021/11/1,75.294
Denmark,2021/12/1,70.057
Denmark,2022/1/1,82.191
Denmark,2022/2/1,87.033
Denmark,2022/3/1,71.428
Denmark,2022/4/1,84.051
Denmark,2022/5/1,83.255
Denmark,2022/6/1,82.759
Denmark,2022/7/1,87.692
Denmark,2022/8/1,81.332
Denmark,2022/9/1,85.24
Denmark,2022/10/1,89.18
Denmark,2022/11/1,87.155
Denmark,2022/12/1,78.556
Denmark,2023/1/1,85.993
Denmark,2023/2/1,85.716
Denmark,2023/3/1,86.647
Denmark,2023/4/1,91.25
Denmark,2023/5/1,95.518
Denmark,2023/6/1,91.577
Denmark,2023/7/1,92.559
Denmark,2023/8/1,87.372
Denmark,2023/9/1,92.605
Denmark,2023/10/1,94.364
Denmark,2023/11/1,85.125
Denmark,2023/12/1,87.16
Denmark,2024/1/1,83.418
Denmark,2024/2/1,88.013
Denmark,2024/3/1,86.807
Denmark,2024/4/1,90.868
Denmark,2024/5/1,92.789
Denmark,2024/6/1,92.875
Denmark,2024/7/1,89.532
Denmark,2024/8/1,89.154
Denmark,2024/9/1,89.969
Denmark,2024/10/1,88.333
Denmark,2024/11/1,84.695
Denmark,2024/12/1,88.577
Denmark,2025/1/1,89.534
Denmark,2025/2/1,84.076
Denmark,2025/3/1,89.796
Denmark,2025/4/1,89.867
Denmark,2025/5/1,96.829
